date,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,pressure_msl,surface_pressure,cloud_cover,wind_speed_10m,wind_direction_10m,wind_gusts_10m
2025-05-06 00:00:00,6.8175,69.46244,1.6175,3.722014,1022.3,1021.3025,30.0,8.461914,29.29127,16.919998
2025-05-06 01:00:00,6.3175,77.75243,2.7175,3.2300396,1022.4,1021.4009,26.0,9.741642,27.511923,19.08
2025-05-06 02:00:00,6.1675,79.68194,2.9175,3.0842838,1022.4,1021.40015,28.0,9.965239,20.07162,19.08
2025-05-06 03:00:00,6.0175004,79.65999,2.7675,3.106135,1022.4,1021.3999,25.0,8.596766,19.573223,19.08
2025-05-06 04:00:00,6.0675,78.82443,2.6675,3.3123894,1022.5,1021.49976,90.0,7.3997297,18.435053,16.199999
2025-05-06 05:00:00,7.2675004,74.40946,3.0175,4.343791,1022.6,1021.60376,100.0,9.0,16.26028,16.56
2025-05-06 06:00:00,8.1675,72.24416,3.4675,5.317319,1022.7,1021.7069,100.0,9.080639,13.760814,18.0
2025-05-06 07:00:00,9.5175,64.56869,3.1675,6.6866674,1022.9,1021.91156,98.0,8.557102,22.249071,22.68
2025-05-06 08:00:00,10.367499,65.67521,4.2175,7.2209806,1023.0,1022.0142,100.0,12.124307,18.166054,27.72
2025-05-06 09:00:00,10.2675,74.933586,6.0175004,7.4336977,1023.2,1022.2138,100.0,12.606426,350.13425,27.72
2025-05-06 10:00:00,10.617499,76.29469,6.6175003,7.868572,1023.1,1022.1151,100.0,12.966248,346.34955,30.239998
2025-05-06 11:00:00,11.7675,71.18324,6.7175,8.657401,1022.9,1021.9195,100.0,15.602999,16.76264,33.48
2025-05-06 12:00:00,12.9175,63.992702,6.2675004,9.501537,1022.5,1021.52374,100.0,16.985933,12.858095,37.44
2025-05-06 13:00:00,12.3175,68.65192,6.7175,8.700183,1022.6,1021.6214,98.0,19.08085,0.54050505,42.12
2025-05-06 14:00:00,12.6675,67.09358,6.7175,9.092578,1022.4,1021.42285,100.0,18.789963,355.0541,42.48
2025-05-06 15:00:00,11.867499,73.68255,7.3175,8.221995,1022.4,1021.42035,100.0,20.256998,354.3908,46.079998
2025-05-06 16:00:00,11.617499,72.63551,6.8675003,8.136057,1022.6,1021.6191,100.0,18.391735,356.6336,45.0
2025-05-06 17:00:00,11.4175,70.8715,6.3175,8.124025,1022.6,1021.61847,100.0,16.22498,3.179772,40.68
2025-05-06 18:00:00,10.9675,75.83034,6.8675003,7.7758512,1022.5,1021.517,100.0,16.404707,3.144897,38.88
2025-05-06 19:00:00,10.5675,80.5858,7.3675003,7.7517586,1022.7,1021.7155,70.0,14.650939,5.6404567,35.28
2025-05-06 20:00:00,9.8175,82.15641,6.9175,7.093766,1022.9,1021.91254,100.0,13.277364,15.732075,29.88
2025-05-06 21:00:00,9.8175,80.75884,6.6675,6.9870577,1023.1,1022.1123,100.0,13.605189,17.715889,27.72
