date,fault_count,week,dag,maand,seizoen,is_weekend,temperatuur_min,temperatuur_max,temperatuur_avg,luchtvochtigheid_min,luchtvochtigheid_max,luchtvochtigheid_avg,dauwpunt_min,dauwpunt_max,dauwpunt_avg,gevoelstemp_min,gevoelstemp_max,gevoelstemp_avg,luchtdruk_min,luchtdruk_max,luchtdruk_avg,bewolking_min,bewolking_max,bewolking_avg,windsnelheid_min,windsnelheid_max,windsnelheid_avg,windstoot_max,windstoot_avg,temperatuur_range,luchtdruk_delta,uren_helder,uren_bewolkt,aantal_sterke_windstoten,dominante_windrichting,temp_range,temp_vocht_interactie,temp_rolling_mean,vocht_rolling_mean,hoge_temp_dag,lage_temp_dag,hoge_vocht_dag,windkracht_beaufort,sterke_wind_uren
2018-01-02,3,1,2,1,1,0,5.82,8.77,6.52,78.69,94.35,85.68,2.52,7.82,4.28,0.0,3.24,1.72,994.3,1009.0,1004.28,15.0,100.0,74.5,13.1,35.05,23.6,61.56,42.81,2.95,14.7,0,14,24,177.14,2.95,558.39,6.6,84.22,0,0,1,9,1
2018-01-03,1,1,3,1,1,0,7.27,9.77,8.02,69.82,92.24,78.67,2.22,8.57,4.51,-3.24,3.34,-0.11,982.5,995.7,988.6,12.0,100.0,65.88,35.86,61.56,46.84,111.6,87.84,2.5,13.2,0,9,24,196.42,2.5,631.08,7.08,82.37,0,0,0,12,1
2018-01-04,2,1,4,1,1,0,7.07,9.72,7.87,71.58,92.47,81.73,2.57,7.67,4.89,-1.01,4.8,2.23,986.9,996.2,992.22,2.0,100.0,69.12,13.08,48.43,30.25,88.56,55.54,2.65,9.3,3,12,24,161.56,2.65,642.84,7.47,82.03,0,0,0,11,1
2018-01-05,2,1,5,1,1,0,6.22,7.97,6.98,68.15,91.43,81.81,2.12,5.77,4.04,-0.11,4.09,1.9,991.5,998.5,994.26,13.0,100.0,75.75,17.23,41.98,25.15,80.28,46.96,1.75,7.0,0,13,24,208.81,1.75,570.84,7.62,80.74,0,0,0,10,1
2018-01-06,1,1,6,1,1,1,2.72,6.67,5.12,82.31,92.8,88.62,1.67,4.82,3.38,-1.36,4.56,1.5,999.3,1019.4,1008.38,33.0,100.0,89.54,3.08,25.2,14.27,49.68,26.61,3.95,20.1,0,18,19,45.0,3.95,453.7,6.65,84.05,0,0,1,7,1
2018-01-07,2,1,7,1,1,1,-0.63,2.77,1.19,71.15,92.47,79.89,-4.98,1.67,-1.94,-7.37,-1.31,-4.8,1020.5,1029.6,1026.96,0.0,96.0,28.71,15.28,27.87,24.7,51.12,44.02,3.4,9.1,13,3,24,70.82,3.4,95.43,4.43,83.44,0,1,0,10,1
2018-01-08,5,2,1,1,1,0,-1.23,3.17,0.89,71.22,86.58,78.79,-4.33,-0.23,-2.39,-7.85,-2.7,-5.31,1019.5,1029.0,1024.98,0.0,95.0,25.46,23.14,28.16,25.66,50.4,45.73,4.4,9.5,12,2,24,86.13,4.4,70.32,2.4,82.43,0,1,0,10,1
2018-01-09,4,2,2,1,1,0,1.02,5.17,3.22,84.11,95.9,91.57,-0.13,4.47,1.97,-3.97,1.63,-0.92,1007.8,1017.8,1010.99,7.0,100.0,66.33,10.95,21.39,16.13,41.4,29.46,4.15,10.0,2,11,24,90.0,4.15,294.83,1.77,83.42,0,0,1,7,1
2018-01-10,4,2,3,1,1,0,5.42,7.62,6.62,88.36,97.61,94.85,4.82,6.57,5.85,2.22,4.69,3.67,1006.1,1009.9,1007.47,34.0,100.0,96.54,9.01,18.23,13.14,32.4,23.55,2.2,3.8,0,23,24,144.25,2.2,627.69,3.58,88.41,0,0,1,6,1
2018-01-11,5,2,4,1,1,0,2.52,7.67,4.45,92.09,99.65,97.78,2.42,6.67,4.12,0.1,5.32,2.14,1010.1,1024.1,1017.27,16.0,100.0,86.04,0.8,9.98,6.34,17.64,12.64,5.15,14.0,0,16,11,25.64,5.15,434.98,4.76,94.73,0,0,1,4,0
2018-01-14,2,2,7,1,1,1,1.27,4.57,2.53,74.46,92.73,85.73,-0.38,1.47,0.35,-2.98,0.11,-1.92,1015.7,1022.4,1019.87,0.0,100.0,46.25,12.68,18.36,16.3,33.84,29.28,3.3,6.7,6,6,24,88.85,3.3,216.72,3.89,91.26,0,0,1,7,1
2018-01-15,3,3,1,1,1,0,2.22,7.92,4.96,83.26,94.3,89.68,1.17,6.12,3.39,-2.49,1.74,-1.12,987.8,1015.1,1000.14,11.0,100.0,89.62,18.39,38.95,31.19,69.48,55.78,5.7,27.3,0,21,24,270.0,5.7,444.74,3.97,89.03,0,0,1,11,1
