date,week,dag,maand,seizoen,is_weekend,temperatuur_min,temperatuur_max,temperatuur_avg,luchtvochtigheid_min,luchtvochtigheid_max,luchtvochtigheid_avg,dauwpunt_min,dauwpunt_max,dauwpunt_avg,gevoelstemp_min,gevoelstemp_max,gevoelstemp_avg,luchtdruk_min,luchtdruk_max,luchtdruk_avg,bewolking_min,bewolking_max,bewolking_avg,windsnelheid_min,windsnelheid_max,windsnelheid_avg,windstoot_max,windstoot_avg,temperatuur_range,luchtdruk_delta,uren_helder,uren_bewolkt,aantal_sterke_windstoten,dominante_windrichting,temp_range,temp_vocht_interactie,temp_rolling_mean,vocht_rolling_mean,hoge_temp_dag,lage_temp_dag,hoge_vocht_dag,windkracht_beaufort,sterke_wind_uren
2025-05-06,19,2,5,2,0,6.02,12.92,9.66,63.99,82.16,74.08,1.62,7.37,5.22,3.08,9.5,6.57,1022.3,1023.2,1022.69,25.0,100.0,85.42,7.4,20.26,13.28,46.08,29.68,6.9,0.9,0,17,24,0.54,6.9,715.55,9.66,74.08,0,0,0,6,1
2025-05-07,19,3,5,2,0,8.17,13.87,10.39,56.52,90.29,72.63,3.92,6.97,5.55,5.12,11.21,7.46,1020.7,1022.9,1021.81,7.0,100.0,72.29,9.67,18.22,12.6,41.76,28.62,5.7,2.2,2,14,24,4.61,5.7,754.38,10.02,73.36,0,0,0,6,1
2025-05-08,19,4,5,2,0,7.12,16.57,12.15,43.25,92.43,68.89,3.52,9.12,6.15,4.49,15.46,9.81,1018.7,1020.6,1019.58,0.0,97.0,21.12,8.04,14.44,10.84,32.4,25.06,9.45,1.9,11,1,24,27.1,9.45,837.27,10.73,71.87,0,0,0,6,1
2025-05-09,19,5,5,2,0,7.57,18.22,12.92,37.76,82.21,62.72,3.42,7.87,5.48,4.95,15.53,10.25,1020.8,1022.8,1021.78,0.0,79.0,6.83,9.03,17.82,12.69,40.68,28.35,10.65,2.0,21,0,24,38.32,10.65,810.38,11.82,68.08,0,0,0,6,1
2025-05-10,19,6,5,2,1,8.22,19.52,14.41,40.58,81.99,61.18,5.22,8.52,6.56,5.4,17.92,11.9,1017.9,1022.8,1020.38,0.0,100.0,26.58,8.15,18.89,13.45,41.76,30.04,11.3,4.9,12,2,24,55.84,11.3,881.81,13.16,64.27,0,0,0,6,1
2025-05-11,19,7,5,2,1,10.62,23.07,17.4,28.56,82.28,56.01,3.72,10.57,7.64,8.15,20.9,15.44,1011.8,1018.3,1014.39,0.0,93.0,15.12,4.14,15.79,11.57,37.08,26.49,12.45,6.5,19,1,23,65.38,12.45,974.82,14.91,59.97,0,0,0,6,1
2025-05-12,20,1,5,2,0,13.52,22.77,17.94,35.55,68.2,50.85,5.02,9.22,7.22,11.05,20.93,15.25,1012.3,1016.7,1013.79,0.0,30.0,3.62,12.28,19.64,15.62,44.28,33.96,9.25,4.4,21,0,24,64.89,9.25,912.32,16.59,56.02,0,0,0,7,1
2025-05-13,20,2,5,2,0,11.42,20.47,15.96,34.72,65.17,52.02,4.12,8.87,5.72,7.95,17.76,13.08,1016.9,1019.7,1018.76,0.0,50.0,4.5,12.85,17.51,14.76,41.4,32.74,9.05,2.8,21,0,24,77.47,9.05,830.09,17.1,52.96,0,0,0,7,1
2025-05-14,20,3,5,2,0,10.07,17.57,13.16,47.97,87.09,69.72,6.02,9.62,7.59,7.42,16.4,10.77,1019.6,1020.4,1020.0,0.0,100.0,50.92,7.99,18.93,14.23,45.0,33.16,7.5,0.8,7,8,24,56.08,7.5,917.78,15.69,57.53,0,0,0,7,1
2025-05-15,20,4,5,2,0,9.72,17.17,12.88,37.58,79.23,62.03,1.72,7.17,5.39,6.84,15.47,9.69,1019.3,1024.6,1021.62,0.0,100.0,31.58,10.71,20.55,16.29,47.88,38.62,7.45,5.3,16,6,24,9.18,7.45,799.0,14.0,61.26,0,0,0,7,1
